,algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,toCurrency,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
MSFT,,152.65,1100,71417514,49333635,71417514,1.091844,153.5,1200,,USD,157.7477,150.82,2.04,0.0128999995,2020-05-20,-,161.74971,190.7,118.38,1.97,24.533873,,,1156956291072,1,,,153,,0.32930002,157.71,2,8.617989,157.7477,150.82,153,157.71,57969926,-,,,,True,1.94,0.0123010585,26.495384,154.18044,57969926,,,,
AAPL,,242.45,1100,62455585,49330169,62455585,1.292953,242.8,800,,USD,248.72,239.13,3.08,0.0121,2020-02-07,-,279.20456,327.85,170.27,1.6,15.807743,,,1054096883712,1,,,246.5,,0.2394,254.29,2,3.937855,248.72,239.13,246.5,254.29,44054638,-,,,,True,3.04,0.011954855,19.127432,271.0172,44054638,,,,
AMZN,,1911.05,1400,6325757,5500393,6325757,1.544734,1910.5,1300,,USD,1944.96,1893.62,,,-,-,1945.4572,2185.95,1626.03,,47.944206,,,949672083456,1,,,1932.97,,0,1949.72,2,3.3853748,1944.96,1893.62,1932.97,1949.72,3742635,-,,,,True,,,82.907425,1845.7506,3742635,,,,
FB,,160.8,1000,27578871,21198830,27578871,1.051464,160.5,1100,,USD,164.15,158.035,,,-,-,180.81943,224.2,137.1,,15.465117,,,454931808256,1,,,161.615,,0,166.8,2,6.434952,164.15,158.035,161.615,166.8,19507559,-,,,,True,,,24.821152,193.8938,19507559,,,,
BRKB,,176.75,900,,,,0.858273,175.5,1400,,USD,178.67,174.19,,,-,-,,178.67,174.19,,,,,,1,,,176.18,,,182.83,2,,178.67,174.19,176.18,182.83,8401977,-,,,,True,,,,,8401977,,,,
GOOGL,,1110,800,3641314,2480262,3641314,1.025336,1098.78,800,,USD,1129.42,1093.765,,,-,-,1286.5591,1530.74,1008.87,,18.701849,,,757735620608,1,,,1124,,0,1161.95,2,4.681513,1129.42,1093.765,1124,1161.95,2598519,-,,,,True,,,22.417265,1314.9076,2598519,,,,
GOOG,,1113,900,3330114,2293293,3330114,1.025336,1110.04,800,,USD,1129.5,1097.45,,,-,-,1289.0682,1532.106,1013.536,,18.638233,,,759594090496,1,,,1122,,0,1162.81,2,4.692995,1129.5,1097.45,1122,1162.81,2312280,-,,,,True,,,22.488865,1315.8756,2312280,,,,
JNJ,,129.7,900,16725685,10542861,16725685,0.75376,129.05,800,,USD,130.23,125.5,3.8,0.029000001,2020-02-24,-,136.84114,154.5,109.16,2.68,13.375908,,,339588218880,1,,,127.7,,0.6661,131.13,2,4.138342,130.23,125.5,127.7,131.13,11872325,-,,,,True,3.75,0.028597575,22.879217,138.02504,11872325,,,,
JPM,,85.09,900,29983800,19726106,29983800,1.177355,84.87,900,,USD,86.56,83.25,3.6,0.04,2020-04-03,-,109.98657,141.1,76.91,2.44,7.8401484,,,259320938496,1,,,85.1,,0.3172,90.03,2,2.3565848,86.56,83.25,85.1,90.03,26992611,-,,,,True,3.4,0.03776519,7.869403,124.40358,26992611,,,,
V,,154.8,900,20540071,12934796,20540071,0.929532,153.15,1000,,USD,158.07,151.4162,1.2,0.0074,2020-02-13,-,179.51172,214.17,133.93,0.63,22.85224,,,339274891264,1,,,156.32,,0.1916,161.12,2,14.421887,158.07,151.4162,156.32,161.12,12274429,-,,,,True,1.1,0.00682721,27.955084,183.46416,12274429,,,,
