iShares S&P 100 ETF
Fund Holdings as of,"Mar 31, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"40,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","8.55","157.71","2,619,384.00","413,103,050.64","413,103,050.64","Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity","7.55","254.29","1,434,054.00","364,665,591.66","364,665,591.66","Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity","5.77","1,949.72","143,002.00","278,813,859.44","278,813,859.44","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","2.85","166.80","826,394.00","137,842,519.20","137,842,519.20","Communication","B7TL820","US30303M1027","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","2.54","182.83","671,710.00","122,808,739.30","122,808,739.30","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","2.48","1,161.95","102,883.00","119,544,901.85","119,544,901.85","Communication","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","2.47","1,162.81","102,632.00","119,341,515.92","119,341,515.92","Communication","BYY88Y7","US02079K1079","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","2.45","131.13","903,811.00","118,516,736.43","118,516,736.43","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","2.01","90.03","1,077,084.00","96,969,872.52","96,969,872.52","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.96","161.12","587,861.00","94,716,164.32","94,716,164.32","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.95","110.00","856,399.00","94,203,890.00","94,203,890.00","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.68","249.38","325,344.00","81,134,286.72","81,134,286.72","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","1.67","54.12","1,493,818.00","80,845,430.16","80,845,430.16","Information Technology","2463247","US4581401001","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.58","53.73","1,420,246.00","76,309,817.58","76,309,817.58","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","1.52","241.56","304,843.00","73,637,875.08","73,637,875.08","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.51","29.15","2,508,579.00","73,125,077.85","73,125,077.85","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","1.45","186.71","374,587.00","69,939,138.77","69,939,138.77","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","1.39","76.94","874,319.00","67,270,103.86","67,270,103.86","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.28","32.64","1,900,436.00","62,030,231.04","62,030,231.04","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","1.24","96.60","618,959.00","59,791,439.40","59,791,439.40","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.22","21.23","2,780,058.00","59,020,631.34","59,020,631.34","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.21","44.25","1,324,189.00","58,595,363.25","58,595,363.25","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.19","120.10","478,864.00","57,511,566.40","57,511,566.40","Consumer Staples","2681511","US7134481081","NASDAQ"
"CSCO","CISCO SYSTEMS INC","Equity","1.19","39.31","1,456,821.00","57,267,633.51","57,267,633.51","Information Technology","2198163","US17275R1023","NASDAQ"
"NFLX","NETFLIX INC","Equity","1.17","375.50","150,505.00","56,514,627.50","56,514,627.50","Communication","2857817","US64110L1061","NASDAQ"
"NVDA","NVIDIA CORP","Equity","1.15","263.60","210,174.00","55,401,866.40","55,401,866.40","Information Technology","2379504","US67066G1040","NASDAQ"
"WMT","WALMART INC","Equity","1.15","113.62","487,154.00","55,350,437.48","55,350,437.48","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.14","37.97","1,452,980.00","55,169,650.60","55,169,650.60","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","1.11","34.38","1,559,009.00","53,598,729.42","53,598,729.42","Communication","2044545","US20030N1019","NASDAQ"
"ADBE","ADOBE INC","Equity","1.10","318.24","166,235.00","52,902,626.40","52,902,626.40","Information Technology","2008154","US00724F1012","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.99","78.91","606,930.00","47,892,846.30","47,892,846.30","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.97","72.46","649,337.00","47,050,959.02","47,050,959.02","Energy","2838555","US1667641005","New York Stock Exchange Inc."
