,Close,Momentum_1y,Momentum_6mo,RelativeStrength_1y,RelativeStrength_6mo,PriceVs52WeekHigh,50dMAvs200dMA,Price_Momentum,Model_Value,Rank,algorithm,ask,askSize,averageDailyVolume10Day,averageVolume,averageVolume10days,beta,bid,bidSize,circulatingSupply,currency,dayHigh,dayLow,dividendRate,dividendYield,exDividendDate,expireDate,fiftyDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiveYearAvgDividendYield,forwardPE,fromCurrency,lastMarket,marketCap,maxAge,maxSupply,navPrice,open,openInterest,payoutRatio,previousClose,priceHint,priceToSalesTrailing12Months,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketVolume,startDate,strikePrice,toCurrency,totalAssets,tradeable,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE,twoHundredDayAverage,volume,volume24Hr,volumeAllCurrencies,yield,ytdReturn
LLY,143.08999633789062,0.3082450071742116,0.31302337779225253,0.4745288740352871,0.5071962732789306,-0.032325716251500505,1.0817889477408564,0.5077970947008934,0.5077970947008934,1.0,,136.53,900,6379600,4839274,6379600,0.361045,132.06,1300,,USD,137.19,132.98,2.96,0.021300001,2020-02-13,-,135.63115,147.87,101.36,2.38,17.648125,,,130559123456,1,,,134,,0.5202,138.72,2,5.8495545,137.19,132.98,134,138.72,3204528,-,,,,True,2.58,0.018598616,15.340156,125.37672,3204528,,,,
COST,307.5,0.34631661120013146,0.17119846012397583,0.5174395514001588,0.34439796291896174,-0.054602471868658894,1.0118094205288002,0.4547611157448155,0.4547611157448155,2.0,,288.57,1000,5448328,3425717,5448328,0.92399,286.49,1200,,USD,288.8,280.9,2.6,0.0091,2020-02-06,-,302.85773,325.26,233.05,1.01,30.770388,,,126636310528,1,,,282.36,,0.3052,285.13,2,0.7997241,288.8,280.9,282.36,285.13,3745783,-,,,,True,2.6,0.009118647,33.663574,299.3229,3745783,,,,
PG,117.44999694824219,0.4958988731399658,0.09140189548978754,0.6860343964515523,0.2528009000857523,-0.08306661762633942,0.9573927066568325,0.45329034639194943,0.45329034639194943,3.0,,110.34,900,16331871,10443679,16331871,0.424386,109.6,800,,USD,112.18,107,2.98,0.0271,2020-01-23,-,116.155426,128.09,94.34,3.09,20.864506,,,269984972800,1,,,107.95,,1.6789,110,2,3.879429,112.18,107,107.95,110,10661774,-,,,,True,2.955,0.026863636,61.28363,121.324745,10661774,,,,
WMT,122.58000183105469,0.33473124450258873,0.11988348665961983,0.5043816321127674,0.2854944139974427,-0.04294189700925456,0.9790049094482062,0.43148476463729046,0.43148476463729046,4.0,,114.7,1400,13582885,9344014,13582885,0.432304,114.66,900,,USD,115.53,111.8,2.16,0.019,2020-05-07,-,114.85457,128.08,96.79,2.45,20.94312,,,323276439552,1,,,112.15,,0.4085,113.62,2,0.61698216,115.53,111.8,112.15,113.62,9217063,-,,,,True,2.12,0.018658685,21.992292,117.317665,9217063,,,,
GILD,79.41999816894531,0.09646028222818555,0.20881273370532258,0.23582535114773373,0.38757472117228664,-0.07618938968308347,1.07998185623379,0.4067981347176817,0.4067981347176817,5.0,,72.65,900,18219457,19736600,18219457,0.985748,72.51,900,,USD,74.39,72,2.72,0.0358,2020-03-12,-,72.25686,85.97,60.89,,11.276828,,,91291541504,1,,,74.32,,0.59720004,74.76,2,4.0666194,74.39,72,74.32,74.76,12177608,-,,,,True,2.52,0.033707865,17.182467,66.905624,12177608,,,,
TGT,102.81999969482422,0.26808462790632026,0.21022245055439548,0.42926392863287877,0.38919291016818547,-0.21053440037757823,0.929299252150374,0.384305422643465,0.384305422643465,6.0,,95.5,900,6993842,6165859,6993842,0.618368,95.27,900,,USD,96.14,91.29,2.64,0.028399998,2020-05-19,-,105.64057,130.24,70.03,3.19,13.068586,,,47726645248,1,,,91.64,,0.41009998,92.97,2,0.61100274,96.14,91.29,91.64,92.97,8476038,-,,,,True,2.6,0.02796601,14.972497,113.677666,8476038,,,,
SO,55.91999816894531,0.3903430803431913,0.04213389349485466,0.5670619842145503,0.1962470334489539,-0.21350213545787178,0.9677904813668036,0.379399340893109,0.379399340893109,7.0,,50.69,1000,8906528,6308059,8906528,0.391132,50.14,900,,USD,52.43,49.26,2.48,0.0458,2020-02-14,-,60.523144,71.1,41.96,4.61,15.193939,,,52859092992,1,,,51.9,,0.5467,54.14,2,2.46786,52.43,49.26,51.9,54.14,6784282,-,,,,True,2.46,0.045437757,11.142222,62.537445,6784282,,,,
AAPL,246.6699981689453,0.10463663035421045,0.2577810089423881,0.24504095016005412,0.443784536773818,-0.24761324334620927,1.0302097431454535,0.3678554966832791,0.3678554966832791,8.0,,242.45,1100,62455585,49330169,62455585,1.292953,242.8,800,,USD,248.72,239.13,3.08,0.0121,2020-02-07,-,279.20456,327.85,170.27,1.6,15.807743,,,1054096883712,1,,,246.5,,0.2394,254.29,2,3.937855,248.72,239.13,246.5,254.29,44054638,-,,,,True,3.04,0.011954855,19.127432,271.0172,44054638,,,,
TMO,302.9800109863281,0.25001207134527037,0.033738354491996844,0.4088942682628658,0.18660994296656552,-0.11476651964492453,0.9880650092933978,0.36720067521947614,0.36720067521947614,9.0,,270.99,900,2811471,2187614,2811471,1.155186,270.5,800,,USD,282.99,270.405,0.88,0.0031,2020-03-13,-,304.02457,342.26,250.21,0.34,18.482203,,,109757472768,1,,,276.51,,0.0829,283.6,2,4.297137,282.99,270.405,276.51,283.6,1885033,-,,,,True,0.76,0.0026798306,30.010906,307.69693,1885033,,,,
MSFT,140.39999389648438,0.2721190137416445,0.05802414013045729,0.4338111031839469,0.21448716604349527,-0.2637651080415082,1.0490935815204574,0.35840668567659784,0.35840668567659784,10.0,,152.65,1100,71417514,49333635,71417514,1.091844,153.5,1200,,USD,157.7477,150.82,2.04,0.0128999995,2020-05-20,-,161.74971,190.7,118.38,1.97,24.533873,,,1156956291072,1,,,153,,0.32930002,157.71,2,8.617989,157.7477,150.82,153,157.71,57969926,-,,,,True,1.94,0.0123010585,26.495384,154.18044,57969926,,,,
NEE,210.63999938964844,0.289343604742228,0.04494421061141391,0.45322501772940993,0.19947294667826143,-0.2566084369520084,1.0266782269482426,0.35569193860097637,0.35569193860097637,11.0,,229.44,800,4481042,3191238,4481042,0.275534,215.26,1100,,USD,231.99,213.04,5.6,0.0233,2020-02-27,-,247.52171,283.35,174.8,2.58,22.155329,,,106707050496,1,,,242.11,,0.6443,240.62,2,5.5565014,231.99,213.04,242.11,240.62,3376450,-,,,,True,5,0.020779653,28.122421,241.08986,3376450,,,,
BIIB,298.67999267578125,-0.12946666463868425,0.2771197627387762,-0.018817934132141834,0.4659831496429838,-0.20349877949870332,1.0869367946431976,0.33265080766383404,0.33265080766383404,12.0,,299.5,800,2482571,2047203,2482571,0.877276,294.5,800,,USD,313.462,290.41,,,-,-,310.7086,374.99,215.78,,9.026469,,,51047747584,1,,,308.81,,0,316.38,2,3.5504315,313.462,290.41,308.81,316.38,2177809,-,,,,True,,,9.333863,285.8571,2177809,,,,
AMGN,204.8800048828125,0.052212217323606945,0.13510353591050928,0.185953156746689,0.30296523888757787,-0.16372094827212338,0.9533366115539763,0.31963351472902995,0.31963351472902995,13.0,,199.1,1300,4345085,3239391,4345085,1.127474,192.21,900,,USD,201.38,195,6.4,0.031600002,2020-05-15,-,207.38571,244.99,166.3,2.49,11.622209,,,116669718528,1,,,197.56,,0.45029998,202.73,2,4.993995,201.38,195,197.56,202.73,2681846,-,,,,True,5.8,0.028609483,15.357919,217.53671,2681846,,,,
ADBE,294.6099853515625,0.11717414924624901,-0.0001357832878012232,0.25917204449918363,0.14772642033797867,-0.23824179611748544,1.068631391693257,0.3093220151032335,0.3093220151032335,14.0,,303,3200,5369485,3673095,5369485,0.968329,301,800,,USD,309.6105,298.34,,,2005-03-24,-,336.2597,386.75,255.13,,26.917784,,,145565155328,1,,,307,,0,318.24,2,12.4827585,309.6105,298.34,307,318.24,3902957,-,,,,True,,,45.644794,314.66388,3902957,,,,
CL,67.69000244140625,0.08279333084081855,-0.03822956252563028,0.22042126832670483,0.10399924603670696,-0.12556514091969703,1.0059891180699763,0.3012111228784228,0.3012111228784228,15.0,,66,1300,7817742,5796979,7817742,0.707838,65.01,800,,USD,65.85,64.09,1.76,0.026500002,2020-04-17,-,69.933426,77.41,58.49,2.32,21.213594,,,56205651968,1,,,64.75,,0.6218,66.36,2,3.5815747,65.85,64.09,64.75,66.36,4077582,-,,,,True,1.71,0.025768535,23.836365,69.51708,4077582,,,,
